@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
4-2,18.89,13.30333,7.4,93.5,78.04168,51.6,13.452,FALSO,0,0,12.32,11.21583,9.97,12.9,1.742083,0,15,44,657,724,4,24,24,24,24,24,24,24,24,1,0,0,0,0
5-2,17.24,11.90125,6.39,95.3,83.63334,61.5,11.54045,FALSO,0,0,12.79,11.48833,10.09,18.6,3.055708,0,10,31,662,737,4,24,24,24,24,24,24,24,24,1,0,64,0,0
6-2,17.55,14.60292,10.77,91.4,43.39958,23.54,7.289194,FALSO,0,0,13.48,12.18917,11.1,36.9,5.632,0,181,200,336,723,4,24,24,24,24,24,24,24,24,1,0,0,0,0
7-2,18.44,13.94458,7.26,78,44.75291,29.36,11.90257,FALSO,0,0,13.68,12.53875,11.52,16.5,3.253417,0,94,137,578,631,4,24,24,24,24,24,24,24,24,1,0,0,0,0
8-2,17.12,10.95208,5.69,81,63.46417,29.58,14.95595,FALSO,0,0,12.52,11.41292,10.02,17.1,3.288542,0,156,424,130,730,4,24,24,24,24,24,24,24,24,1,0,319,0,0
9-2,17.89,9.944873,2.592,88.1,62.23958,20.41,15.62111,FALSO,0,0,11.6,10.41625,8.63,12.9,1.887833,0,13,23,570,834,4,24,24,24,24,24,24,24,24,1,0,575,0,0
10-2,19.38,10.93333,3.58,92.3,75.65418,45.1,14.75806,FALSO,0,0,12.27,10.545,8.52,12.6,1.599791,0,2,23,537,878,4,24,24,24,24,24,24,24,24,1,0,544,0,0
11-2,18.85,11.97,5.18,96.9,82.7625,51.7,15.82006,FALSO,0.2,2,12.83,11.67625,10.17,10.8,1.903708,0,23,54,568,795,4,24,24,24,24,24,24,24,24,1,0,186,0,0
12-2,21.09,12.27792,5.29,96,72.71792,37.43,15.50522,FALSO,0.1,1,13.43,11.7575,9.74,17.4,2.954625,0,162,295,150,833,4,24,24,24,24,24,24,24,24,1,0,312,0,0
13-2,15.98,10.46375,3.947,93.3,82.80833,69.2,14.74954,FALSO,0,0,12.45,11.37875,9.59,12.6,2.913542,0,24,25,709,682,3,24,24,24,24,24,24,24,24,1,0,466,0,0
